client_id,primary_org_id,first_name,last_name,middle_name,aliases,dob,age,gender,indigenous_identity,citizenship_status,veteran_status,primary_language,current_sleeping_location,housing_status,first_homeless_date,current_episode_start_date,days_homeless_past_3_years,chronic_homeless_flag,mental_health_flag,substance_use_flag,physical_health_flag,developmental_flag,bnl_active_flag,bnl_status,ca_enrolled_flag,ca_priority_level,assessment_tool,assessment_date,assessment_total_score,assessment_acuity_level,last_contact_date,ocap_protected,ocap_governing_nation,ocap_data_use_conditions,consent_coverage_level,default_sharing_scope,current_consent_id,phone,email
CLI-0001,ORG-0003,Jennifer,ROBINSON,Whitney,,1989-06-27,37,female,first_nations,canadian_citizen,False,english,hotel_motel,homeless,2025-03-19,2025-11-08,322,False,False,True,False,False,False,,False,,local,2026-04-10,6.0,moderate,2026-03-11,False,,,minimal,limited_agencies,CNS-04613,250-900-9493,
CLI-0002,ORG-0003,Jordan,Davis,,,1978-03-21,48,male,non_indigenous,unknown,False,english,couch_surfing,homeless,26/10/2021,2022-06-11,631,False,False,False,True,False,False,,True,p2,none,,,,2026-03-24,False,,,partial,all_dsa_agencies,CNS-00002,(250) 318-2594,
CLI-0003,ORG-0005,Amber,Rodriguez,Courtney,,1982-03-18,44,non_binary,unknown,canadian_citizen,False,english,housed,housed,12/10/2018,2024-10-01,287,False,False,True,False,False,True,active,True,p1,local,2025-05-16,6.0,moderate,2026-02-15,False,,,partial,single_agency_only,CNS-02952,(250) 351-4324,hporter@example.net
CLI-0004,ORG-0007,Ricky,Henderson,,,1987-04-03,39,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,"February 11, 2026",2026-04-12,527,True,True,False,True,False,False,,True,p1,none,,,,03/14/2026,False,,,none,no_sharing,CNS-02053,250.325.9008,
CLI-0005,ORG-0001,Arthur,JAMES,Wendy,,08/02/1968,58,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2018-03-03,2019-03-20,514,True,False,False,True,False,False,,False,,none,,,,2026-03-08,False,,,full,no_sharing,CNS-03371,(250) 666-0539,smithantonio@example.net
CLI-0006,ORG-0005,Joseph,Maddox,Michelle,,1967-08-05,59,male,non_indigenous,canadian_citizen,False,english,emergency_shelter,homeless,2025-07-29,11/26/2025,856,False,True,True,True,False,True,active,True,p1,none,,,,2026-03-13,False,,,minimal,single_agency_only,CNS-02284,250-632-7121,Unknown
CLI-0007,ORG-0004,Adam,le,,,1994-11-10,32,male,unknown,canadian_citizen,True,english,housed,housed,2022-12-01,2025-12-17,649,True,False,False,True,False,True,inactive,True,p1,TAY_VI_SPDAT,2024-09-05,4.0,moderate,2026-04-13,False,,,full,limited_agencies,CNS-00007,(250) 592-6761,
CLI-0008,ORG-0005,Melanie,herrera,,Joseph,1998-10-07,28,female,non_indigenous,unknown,False,english,couch_surfing,homeless,2019-10-25,2024-10-07,905,True,False,False,False,False,False,,True,p3,VI_SPDAT,2023-03-15,7.0,moderate,03/07/2026,False,,,partial,no_sharing,CNS-01270,(250) 501-3474,baldwincatherine@example.net
CLI-0009,ORG-0003,Martin,Rodriguez,,,04/22/1959,67,male,first_nations,canadian_citizen,False,english,institution,homeless,13/04/2018,2020-04-16,710,False,False,False,True,False,False,,False,,none,,,,02/08/2026,False,,,full,no_sharing,CNS-02196,(250) 819-8413,gonzalesmaria@example.org
CLI-0010,ORG-0001,Jeffrey,Chavez,Stephanie,,04/08/1994,32,male,inuit,canadian_citizen,False,english,unsheltered,homeless,03/01/2020,2022-12-25,108,False,False,True,False,False,False,,False,,none,,,,25/03/2026,True,Tsawout,No secondary use; annual review; nation data steward approval,full,no_sharing,CNS-00013,(250) 779-4598,lisa05@example.com
CLI-0011,ORG-0004,Sherri,Baker,Vincent,,2000-09-22,26,female,non_indigenous,canadian_citizen,False,english,transitional_housing,homeless,2021-04-27,2024-06-05,290,False,True,False,False,False,True,inactive,True,p2,none,,,,2026-04-01,False,,,minimal,no_sharing,CNS-00017,2508267470,hpatterson@example.org
CLI-0012,ORG-0009,Cassandra,gaines,,Monica,"October 20, 1992",34,female,non_indigenous,canadian_citizen,False,english,unsheltered,homeless,2020-08-21,2024-02-13,490,True,False,False,False,False,False,,False,,VI_SPDAT,2023-05-30,9.0,high,2026-03-18,False,,,none,limited_agencies,CNS-00020,,melaniechang@example.net
